ind ancestry ancestry_all
TGG_268 eas eas
TGG_269 NA eas
TGG_27 NA nfe
TGG_270 eas eas
TGG_271 eas eas
TGG_272 eas eas
TGG_273 eas eas
TGG_274 eas eas
TGG_275 eas eas
TGG_276 NA eas
TGG_277 eas eas
TGG_278 NA eas
TGG_279 NA eas
TGG_28 NA nfe
TGG_280 NA eas
TGG_281 amr amr
TGG_282 NA amr
TGG_283 amr amr
TGG_284 NA amr
TGG_285 amr amr
TGG_286 amr amr
TGG_287 amr amr
TGG_288 amr amr
TGG_289 NA amr
TGG_29 nfe nfe
TGG_290 amr amr
TGG_291 NA nfe
TGG_292 amr amr
TGG_293 amr amr
TGG_294 NA amr
TGG_295 NA amr
TGG_296 amr amr
TGG_297 NA amr
TGG_298 amr amr
TGG_299 NA amr
TGG_3 eas eas
TGG_30 nfe nfe
TGG_300 NA amr
TGG_301 NA amr
TGG_302 amr amr
TGG_303 NA amr
TGG_304 amr amr
TGG_305 amr amr
TGG_306 amr amr
TGG_307 amr amr
TGG_308 NA amr
TGG_309 NA amr
TGG_31 nfe nfe
TGG_310 amr amr
TGG_311 amr amr
TGG_312 amr amr
TGG_313 NA amr
TGG_314 NA amr
TGG_315 NA amr
TGG_316 NA amr
TGG_317 amr amr
TGG_318 amr amr
TGG_319 NA amr
TGG_32 NA nfe
TGG_320 amr amr
TGG_321 NA amr
TGG_322 amr amr
TGG_323 NA amr
TGG_324 amr amr
TGG_325 amr amr
TGG_326 amr amr
TGG_327 NA amr
TGG_328 amr amr
TGG_329 NA nfe
TGG_33 NA nfe
TGG_330 amr amr
TGG_331 amr amr
TGG_332 NA amr
TGG_333 NA sas
TGG_334 amr amr
TGG_335 amr amr
TGG_336 amr amr
TGG_337 amr amr
TGG_338 amr amr
TGG_339 NA nfe
TGG_34 nfe nfe
TGG_340 NA amr
TGG_341 amr amr
TGG_342 amr amr
TGG_343 amr amr
TGG_344 amr amr
TGG_345 amr amr
TGG_346 amr amr
TGG_347 amr amr
TGG_348 amr amr
TGG_349 NA amr
TGG_35 nfe nfe
TGG_350 amr amr
TGG_351 NA amr
TGG_352 amr amr
TGG_353 nfe nfe
TGG_354 amr amr
TGG_355 amr amr
TGG_356 amr amr
TGG_357 amr amr
TGG_358 amr amr
TGG_359 amr amr
TGG_36 NA nfe
TGG_360 amr amr
TGG_361 amr amr
TGG_362 amr amr
TGG_363 NA amr
TGG_364 amr amr
TGG_365 NA amr
TGG_366 amr amr
TGG_367 NA amr
TGG_368 amr amr
TGG_369 amr amr
TGG_37 NA nfe
TGG_370 amr amr
TGG_371 amr amr
TGG_372 amr amr
TGG_373 amr amr
TGG_374 amr amr
TGG_375 NA sas
TGG_376 amr amr
TGG_377 amr amr
TGG_378 NA amr
TGG_379 amr amr
TGG_38 NA nfe
TGG_380 NA amr
TGG_381 amr amr
TGG_382 amr amr
TGG_383 amr amr
TGG_384 NA amr
TGG_385 NA amr
TGG_386 amr amr
TGG_387 amr amr
TGG_388 amr amr
TGG_389 amr amr
TGG_39 nfe nfe
TGG_390 amr amr
TGG_391 NA nfe
TGG_392 amr amr
TGG_393 amr amr
TGG_394 amr amr
TGG_395 amr amr
TGG_396 NA amr
TGG_397 NA amr
TGG_398 amr amr
TGG_399 amr amr
TGG_4 NA eas
TGG_40 NA nfe
TGG_400 amr amr
TGG_401 NA amr
TGG_402 NA amr
TGG_403 NA amr
TGG_404 NA amr
TGG_405 NA amr
TGG_406 NA nfe
TGG_407 amr amr
TGG_408 amr amr
TGG_409 amr amr
TGG_41 nfe nfe
TGG_410 amr amr
TGG_411 NA amr
TGG_412 amr amr
TGG_413 amr amr
TGG_414 amr amr
TGG_415 amr amr
TGG_416 NA amr
TGG_417 NA amr
TGG_418 nfe nfe
TGG_419 NA nfe
TGG_42 NA nfe
TGG_420 NA nfe
TGG_421 nfe nfe
TGG_422 NA nfe
TGG_423 NA fin
TGG_424 NA nfe
TGG_425 nfe nfe
TGG_426 NA nfe
TGG_427 nfe nfe
TGG_428 nfe nfe
TGG_429 nfe nfe
TGG_43 nfe nfe
TGG_430 nfe nfe
TGG_431 nfe nfe
TGG_432 nfe nfe
TGG_433 NA nfe
TGG_434 nfe nfe
TGG_435 nfe nfe
TGG_436 amr amr
TGG_437 amr amr
TGG_438 amr amr
TGG_439 amr amr
TGG_44 nfe nfe
TGG_440 amr amr
TGG_441 NA sas
TGG_442 amr amr
TGG_443 NA amr
TGG_444 sas sas
TGG_445 NA sas
TGG_446 eas eas
TGG_447 eas eas
TGG_448 nfe nfe
TGG_449 nfe nfe
TGG_45 nfe nfe
TGG_450 NA nfe
TGG_451 nfe nfe
TGG_452 NA nfe
TGG_453 NA nfe
TGG_454 nfe nfe
TGG_455 nfe nfe
TGG_456 nfe nfe
TGG_457 nfe nfe
TGG_458 NA nfe
TGG_459 nfe nfe
TGG_46 nfe nfe
TGG_460 NA nfe
TGG_461 NA nfe
TGG_462 NA nfe
TGG_463 nfe nfe
TGG_464 nfe nfe
TGG_465 NA nfe
TGG_466 nfe nfe
TGG_467 NA nfe
TGG_468 nfe nfe
TGG_469 nfe nfe
TGG_47 nfe nfe
TGG_470 NA nfe
TGG_471 nfe nfe
TGG_472 NA nfe
TGG_473 nfe nfe
TGG_474 nfe nfe
TGG_475 nfe nfe
TGG_476 nfe nfe
TGG_477 NA nfe
TGG_478 nfe nfe
TGG_479 NA nfe
TGG_48 nfe nfe
TGG_480 nfe nfe
TGG_481 NA fin
TGG_482 NA nfe
TGG_483 NA nfe
TGG_484 nfe nfe
TGG_485 nfe nfe
TGG_486 nfe nfe
TGG_487 NA nfe
TGG_488 nfe nfe
TGG_489 NA nfe
TGG_49 nfe nfe
TGG_490 nfe nfe
TGG_491 nfe nfe
TGG_492 nfe nfe
TGG_493 NA nfe
TGG_494 NA nfe
TGG_495 nfe nfe
TGG_496 NA nfe
TGG_497 nfe nfe
TGG_498 nfe nfe
TGG_499 nfe nfe
TGG_5 eas eas
TGG_50 NA nfe
TGG_500 nfe nfe
TGG_501 nfe nfe
TGG_502 eas eas
TGG_503 eas eas
TGG_504 eas eas
TGG_505 eas eas
TGG_506 NA eas
TGG_507 eas eas
TGG_508 eas eas
TGG_509 eas eas
TGG_51 nfe nfe
TGG_510 eas eas
TGG_511 eas eas
TGG_512 eas eas
TGG_513 eas eas
TGG_514 eas eas
TGG_515 eas eas
TGG_516 eas eas
TGG_517 eas eas
TGG_518 eas eas
TGG_519 NA eas
TGG_52 nfe nfe
TGG_520 eas eas
TGG_521 NA eas
TGG_522 eas eas
TGG_523 eas eas
TGG_524 eas eas
TGG_525 eas eas
TGG_526 NA eas
TGG_527 eas eas
TGG_528 eas eas
TGG_529 NA eas
TGG_53 nfe nfe
TGG_530 eas eas
TGG_531 eas eas
TGG_532 NA eas
TGG_533 NA eas
TGG_534 eas eas
TGG_535 eas eas
TGG_536 eas eas
TGG_537 eas eas
TGG_538 NA eas
TGG_539 eas eas
TGG_54 NA nfe
TGG_540 NA eas
TGG_541 NA eas
TGG_542 eas eas
TGG_543 eas eas
TGG_544 eas eas
TGG_545 eas eas
TGG_546 NA eas
TGG_547 eas eas
TGG_548 eas eas
TGG_549 eas eas
TGG_55 nfe nfe
TGG_550 NA eas
TGG_551 afr afr
TGG_552 afr afr
TGG_553 afr afr
TGG_554 NA afr
TGG_555 amr amr
TGG_556 afr afr
TGG_557 afr afr
TGG_558 amr amr
TGG_559 NA eas
TGG_56 nfe nfe
TGG_560 amr amr
TGG_561 NA sas
TGG_562 amr amr
TGG_563 NA sas
TGG_564 amr amr
TGG_565 NA sas
TGG_566 NA amr
TGG_567 NA amr
TGG_568 afr afr
TGG_569 amr amr
TGG_57 NA nfe
TGG_570 amr amr
TGG_571 amr amr
TGG_572 amr amr
TGG_573 NA sas
TGG_574 amr amr
TGG_575 NA sas
TGG_576 NA amr
TGG_577 NA amr
TGG_578 NA afr
TGG_579 afr afr
TGG_58 fin fin
TGG_580 afr afr
TGG_581 NA sas
TGG_582 amr amr
TGG_583 amr amr
TGG_584 NA sas
TGG_585 afr afr
TGG_586 NA afr
TGG_587 afr afr
TGG_588 eas eas
TGG_589 eas eas
TGG_59 fin fin
TGG_590 eas eas
TGG_591 NA eas
TGG_592 eas eas
TGG_593 NA eas
TGG_594 eas eas
TGG_595 NA eas
TGG_596 eas eas
TGG_597 eas eas
TGG_598 afr afr
TGG_599 NA afr
TGG_6 NA nfe
TGG_60 fin fin
TGG_600 NA eas
TGG_601 eas eas
TGG_602 NA eas
TGG_603 eas eas
TGG_604 eas eas
TGG_605 eas eas
TGG_606 eas eas
TGG_607 eas eas
TGG_608 NA eas
TGG_609 eas eas
TGG_61 fin fin
TGG_610 eas eas
TGG_611 eas eas
TGG_612 eas eas
TGG_613 eas eas
TGG_614 NA sas
TGG_615 amr amr
TGG_616 afr afr
TGG_617 amr amr
TGG_618 NA sas
TGG_619 afr afr
TGG_62 fin fin
TGG_620 afr afr
TGG_621 NA afr
TGG_622 eas eas
TGG_623 eas eas
TGG_624 eas eas
TGG_625 NA eas
TGG_626 eas eas
TGG_627 eas eas
TGG_628 NA eas
TGG_629 eas eas
TGG_63 fin fin
TGG_630 NA eas
TGG_631 eas eas
TGG_632 eas eas
TGG_633 afr afr
TGG_634 afr afr
TGG_635 NA eas
TGG_636 NA sas
TGG_637 NA eas
TGG_638 eas eas
TGG_639 eas eas
TGG_64 fin fin
TGG_640 NA eas
TGG_641 NA eas
TGG_642 NA eas
TGG_643 NA eas
TGG_644 NA eas
TGG_645 eas eas
TGG_646 eas eas
TGG_647 eas eas
TGG_648 eas eas
TGG_649 eas eas
TGG_65 NA nfe
TGG_650 eas eas
TGG_651 eas eas
TGG_652 NA eas
TGG_653 eas eas
TGG_654 NA eas
TGG_655 NA eas
TGG_656 eas eas
TGG_657 nfe nfe
TGG_658 nfe nfe
TGG_659 nfe nfe
TGG_66 fin fin
TGG_660 NA nfe
TGG_661 NA nfe
TGG_662 NA nfe
TGG_663 nfe nfe
TGG_664 nfe nfe
TGG_665 nfe nfe
TGG_666 nfe nfe
TGG_667 eas eas
TGG_668 amr amr
TGG_669 afr afr
TGG_67 fin fin
TGG_670 afr afr
TGG_671 amr amr
TGG_672 amr amr
TGG_673 amr amr
TGG_674 amr amr
TGG_675 amr amr
TGG_676 amr amr
TGG_677 amr amr
TGG_678 NA sas
TGG_679 afr afr
TGG_68 NA nfe
TGG_680 afr afr
TGG_681 afr afr
TGG_682 NA afr
TGG_683 NA sas
TGG_684 amr amr
TGG_685 NA amr
TGG_686 NA amr
TGG_687 amr amr
TGG_688 amr amr
TGG_689 afr afr
TGG_69 fin fin
TGG_690 NA afr
TGG_691 afr afr
TGG_692 NA sas
TGG_693 afr afr
TGG_694 NA afr
TGG_695 afr afr
TGG_696 NA afr
TGG_697 afr afr
TGG_698 afr afr
TGG_699 afr afr
TGG_7 nfe nfe
TGG_70 NA nfe
TGG_700 afr afr
TGG_701 afr afr
TGG_702 NA afr
TGG_703 afr afr
TGG_704 NA afr
TGG_705 NA afr
TGG_706 NA sas
TGG_707 amr amr
TGG_708 eas eas
TGG_709 eas eas
TGG_71 fin fin
TGG_710 NA eas
TGG_711 eas eas
TGG_712 eas eas
TGG_713 NA eas
TGG_714 eas eas
TGG_715 NA eas
TGG_716 eas eas
TGG_717 eas eas
TGG_718 NA eas
TGG_719 eas eas
TGG_72 NA nfe
TGG_720 eas eas
TGG_721 eas eas
TGG_722 eas eas
TGG_723 eas eas
TGG_724 NA eas
TGG_725 eas eas
TGG_726 eas eas
TGG_727 eas eas
TGG_728 eas eas
TGG_729 eas eas
TGG_73 nfe nfe
TGG_730 eas eas
TGG_731 eas eas
TGG_732 NA eas
TGG_733 eas eas
TGG_734 eas eas
TGG_735 eas eas
TGG_736 NA eas
TGG_737 eas eas
TGG_738 eas eas
TGG_739 eas eas
TGG_74 nfe nfe
TGG_740 NA eas
TGG_741 eas eas
TGG_742 NA eas
TGG_743 afr afr
TGG_744 afr afr
TGG_745 NA sas
TGG_746 afr afr
TGG_747 afr afr
TGG_748 NA afr
TGG_749 afr afr
TGG_75 NA nfe
TGG_750 afr afr
TGG_751 afr afr
TGG_752 afr afr
TGG_753 afr afr
TGG_754 afr afr
TGG_755 NA afr
TGG_756 afr afr
TGG_757 NA afr
TGG_758 afr afr
TGG_759 afr afr
TGG_76 nfe nfe
TGG_760 afr afr
TGG_761 afr afr
TGG_762 NA afr
TGG_763 afr afr
TGG_764 afr afr
TGG_765 NA afr
TGG_766 afr afr
TGG_767 afr afr
TGG_768 sas sas
TGG_769 afr afr
TGG_77 nfe nfe
TGG_770 afr afr
TGG_771 afr afr
TGG_772 NA afr
TGG_773 afr afr
TGG_774 afr afr
TGG_775 afr afr
TGG_776 NA eas
TGG_777 eas eas
TGG_778 NA eas
TGG_779 eas eas
TGG_78 nfe nfe
TGG_780 afr afr
TGG_781 afr afr
TGG_782 afr afr
TGG_783 afr afr
TGG_784 afr afr
TGG_785 afr afr
TGG_786 afr afr
TGG_787 NA afr
TGG_788 afr afr
TGG_789 afr afr
TGG_79 nfe nfe
TGG_790 afr afr
TGG_791 afr afr
TGG_792 afr afr
TGG_793 NA afr
TGG_794 afr afr
TGG_795 afr afr
TGG_796 afr afr
TGG_797 afr afr
TGG_798 NA afr
TGG_799 afr afr
TGG_8 nfe nfe
TGG_80 nfe nfe
TGG_800 afr afr
TGG_801 afr afr
TGG_802 afr afr
TGG_803 afr afr
TGG_804 afr afr
TGG_805 NA afr
TGG_806 NA sas
TGG_807 sas sas
TGG_808 sas sas
TGG_809 afr afr
TGG_81 NA nfe
TGG_810 NA afr
TGG_811 afr afr
TGG_812 NA afr
TGG_813 afr afr
TGG_814 afr afr
TGG_815 afr afr
TGG_816 afr afr
TGG_817 afr afr
TGG_818 afr afr
TGG_819 afr afr
TGG_82 nfe nfe
TGG_820 NA afr
TGG_821 afr afr
TGG_822 afr afr
TGG_823 afr afr
TGG_824 afr afr
TGG_825 sas sas
TGG_826 sas sas
TGG_827 sas sas
TGG_828 sas sas
TGG_829 sas sas
TGG_83 nfe nfe
TGG_830 sas sas
TGG_831 NA sas
TGG_832 afr afr
TGG_833 afr afr
TGG_834 afr afr
TGG_835 NA afr
TGG_836 sas sas
TGG_837 NA amr
TGG_838 sas sas
TGG_839 NA sas
TGG_84 nfe nfe
TGG_840 sas sas
TGG_841 NA amr
TGG_842 sas sas
TGG_843 sas sas
TGG_844 sas sas
TGG_845 afr afr
TGG_846 afr afr
TGG_847 NA afr
TGG_848 afr afr
TGG_849 afr afr
TGG_85 nfe nfe
TGG_850 NA afr
TGG_851 sas sas
TGG_852 NA sas
TGG_853 NA sas
TGG_854 sas sas
TGG_855 sas sas
TGG_856 sas sas
TGG_857 afr afr
TGG_858 NA afr
TGG_859 afr afr
TGG_86 NA nfe
TGG_860 afr afr
TGG_861 NA afr
TGG_862 afr afr
TGG_863 afr afr
TGG_864 NA afr
TGG_865 afr afr
TGG_866 NA sas
TGG_867 NA sas
TGG_868 NA sas
TGG_869 sas sas
TGG_87 nfe nfe
TGG_870 sas sas
TGG_871 sas sas
TGG_872 afr afr
TGG_873 afr afr
TGG_874 afr afr
TGG_875 afr afr
TGG_876 NA afr
TGG_877 afr afr
TGG_878 afr afr
TGG_879 afr afr
TGG_88 nfe nfe
TGG_880 afr afr
TGG_881 afr afr
TGG_882 afr afr
TGG_883 afr afr
TGG_884 afr afr
TGG_885 afr afr
TGG_886 afr afr
TGG_887 afr afr
TGG_888 afr afr
TGG_889 afr afr
TGG_89 nfe nfe
TGG_890 afr afr
TGG_891 NA afr
TGG_892 afr afr
TGG_893 afr afr
TGG_894 NA afr
TGG_895 afr afr
TGG_896 NA afr
TGG_897 NA afr
TGG_898 afr afr
TGG_899 afr afr
TGG_9 nfe nfe
TGG_90 nfe nfe
TGG_900 NA afr
TGG_901 NA afr
TGG_902 afr afr
TGG_903 afr afr
TGG_904 afr afr
TGG_905 afr afr
TGG_906 afr afr
TGG_907 afr afr
TGG_908 NA afr
TGG_909 NA afr
TGG_91 NA nfe
TGG_910 afr afr
TGG_911 afr afr
TGG_912 NA afr
TGG_913 afr afr
TGG_914 afr afr
TGG_915 afr afr
TGG_916 NA afr
TGG_917 NA afr
TGG_918 afr afr
TGG_919 NA afr
TGG_92 nfe nfe
TGG_920 NA afr
TGG_921 afr afr
TGG_922 NA sas
TGG_923 NA sas
TGG_924 sas sas
TGG_925 NA sas
TGG_926 sas sas
TGG_927 afr afr
TGG_928 afr afr
TGG_929 afr afr
TGG_93 NA nfe
TGG_930 afr afr
TGG_931 NA afr
TGG_932 NA afr
TGG_933 afr afr
TGG_934 afr afr
TGG_935 NA afr
TGG_936 afr afr
TGG_937 NA afr
TGG_938 afr afr
TGG_939 NA afr
TGG_94 nfe nfe
TGG_940 afr afr
TGG_941 afr afr
TGG_942 afr afr
TGG_943 afr afr
TGG_944 NA afr
TGG_945 afr afr
TGG_946 NA afr
TGG_947 afr afr
TGG_948 NA afr
TGG_949 afr afr
TGG_95 nfe nfe
TGG_950 afr afr
TGG_951 afr afr
TGG_952 afr afr
TGG_953 NA afr
TGG_954 afr afr
TGG_955 afr afr
TGG_956 NA afr
TGG_957 NA afr
TGG_958 afr afr
TGG_959 afr afr
TGG_96 nfe nfe
TGG_960 afr afr
TGG_961 afr afr
TGG_962 afr afr
TGG_963 afr afr
TGG_964 afr afr
TGG_965 afr afr
TGG_966 afr afr
TGG_967 afr afr
TGG_968 afr afr
TGG_969 NA afr
TGG_97 nfe nfe
TGG_970 NA afr
TGG_971 NA afr
TGG_972 afr afr
TGG_973 afr afr
TGG_974 afr afr
TGG_975 afr afr
TGG_976 NA afr
TGG_977 afr afr
TGG_978 NA afr
TGG_979 NA afr
TGG_98 nfe nfe
TGG_980 NA afr
TGG_981 afr afr
TGG_982 NA afr
TGG_983 afr afr
TGG_984 afr afr
TGG_985 afr afr
TGG_986 afr afr
TGG_987 afr afr
TGG_988 NA afr
TGG_989 afr afr
TGG_99 NA nfe
TGG_990 NA afr
TGG_991 NA afr
TGG_992 afr afr
TGG_993 afr afr
TGG_994 NA afr
TGG_995 afr afr
TGG_996 afr afr
TGG_997 afr afr
TGG_998 afr afr
TGG_999 afr afr
